Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
Abemaciclib Bulk Drug,Abemaciclib 50.0000 Not Applicable (Na),NA,13-FEB-2026,MSN Laboratories Private Limited
Abiraterone Acetate Oral Suspension 1000mg/5ml,Abiraterone Acetate 1000.0000 Milligram (Mg),"For The Treatment Of Metastatic Castration Resistant Prostate Cancer In Adult Men Who Are Asymptomatic Or Mildly Symptomatic After Failure Of Androgen Deprivation Therapy In Whom Chemotherapy Is Not Yet Clinically Indicated, With Prednisone Or Prednisolone.",20-NOV-2025,BDR Pharmaceuticals International Pvt Ltd
Abiraterone acetate Tablet 250 mg (Additional Indication),,"For the treatment of metastatic castration resistant prostate cancer in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated, with prednisone or prednisolonÞ¡",27.03.15,
Abiraterone Acetate Tablets,Abiraterone Acetate 500.0000 Milligram (Mg),"In Combination With Prednisone For The Treatment Of Patients With Metastatic Castration Resistant Prostate Cancer Who Have Received Prior Chemotherapy Containing Docetaxel,For The Treatment Of Metastatic Castration Resistant Prostate Cancer In Adult Men Who Are Asymptomatic Or Mildly Symptomatic After Failure Of Androgen Deprivation Therapy In Whom Chemotherapy Is Not Yet Clinically Indicated With Prednisone Or Prednisolone.",17-SEP-2019,Cipla Limited
Abiraterone Acetate Tablets 250mg,Each tablet contains; abiraterone acetate-250mg,In combination with prednisone for the treatment of patients with metastatic castration-resistant prostrate cancer who have received prior chemotherapy containing docetaxel.,16.12.11,Johnson & Johnson
"Abrocitinib Tablets 50mg, 100mg & 200mg","Abrocitinib (Pf-04965842) 200.0000 Milligram (Mg),Microcrystalline Cellulose 276.2500 Milligram (Mg),Dibasic Calcium Phosphate, Anydrous 138.0000 Milligram (Mg),Sodium Starch Glycolate 29.2500 Milligram (Mg),Magnesium Stearate 6.5000 Milligram (Mg)",Abrocitinib Is Indicated For The Treatment Of Moderate-To-Severe Atopic Dermatitis In Adults Who Are Candidates For Systemic Therapy.,29-NOV-2023,Pfizer Products India Private Limited 
"Abrocitinib Tablets 50mg, 100mg & 200mg","Abrocitinib (Pf-04965842) 100.0000 Milligram (Mg),Microcrystalline Cellulose 138.1250 Milligram (Mg),Dibasic Calcium Phosphate, Anydrous 69.0000 Milligram (Mg),Sodium Starch Glycolate 14.6250 Milligram (Mg),Magnesium Stearate 3.2500 Milligram (Mg)",Abrocitinib Is Indicated For The Treatment Of Moderate-To-Severe Atopic Dermatitis In Adults Who Are Candidates For Systemic Therapy.,29-NOV-2023,Pfizer Products India Private Limited 
"Abrocitinib Tablets 50mg, 100mg & 200mg","Abrocitinib (Pf-04965842) 50.0000 Milligram (Mg),Microcrystalline Cellulose 69.0620 Milligram (Mg),Dibasic Calcium Phosphate, Anydrous 34.5000 Milligram (Mg),Sodium Starch Glycolate 7.3120 Milligram (Mg),Magnesium Stearate 1.6250 Milligram (Mg)",Abrocitinib Is Indicated For The Treatment Of Moderate-To-Severe Atopic Dermatitis In Adults Who Are Candidates For Systemic Therapy.,29-NOV-2023,Pfizer Products India Private Limited 
"Abrocitinib Tablets 50mg, 100mg, 200mg","Abrocitinib 200.0000 Milligram (Mg),Sodium Starch Glycolate 29.2500 Milligram (Mg),Microcrystalline Cellulose 276.2500 Milligram (Mg),Dibasic Calcium Phosphate, Anydrous 138.0000 Milligram (Mg),Magnesium Stearate 6.5000 Milligram (Mg)",For The Treatment Of Moderate To Severe Atopic Dermatitis In Adults And Adolescents 12 Years And Older Who Are Candidates For Systemic Therapy,15-JAN-2025,Pfizer Products India Private Limited 
"Abrocitinib Tablets 50mg, 100mg, 200mg","Abrocitinib 100.0000 Milligram (Mg),Microcrystalline Cellulose 138.1250 Milligram (Mg),Dibasic Calcium Phosphate, Anydrous 69.0000 Milligram (Mg),Sodium Starch Glycolate 14.6250 Milligram (Mg),Magnesium Stearate 3.2500 Milligram (Mg)",For The Treatment Of Moderate To Severe Atopic Dermatitis In Adults And Adolescents 12 Years And Older Who Are Candidates For Systemic Therapy,15-JAN-2025,Pfizer Products India Private Limited 
"Abrocitinib Tablets 50mg, 100mg, 200mg","Abrocitinib 50.0000 Milligram (Mg),Magnesium Stearate 1.6250 Milligram (Mg),Microcrystalline Cellulose 69.0620 Milligram (Mg),Dibasic Calcium Phosphate, Anydrous 34.5000 Milligram (Mg),Sodium Starch Glycolate 7.3120 Milligram (Mg)",For The Treatment Of Moderate To Severe Atopic Dermatitis In Adults And Adolescents 12 Years And Older Who Are Candidates For Systemic Therapy,15-JAN-2025,Pfizer Products India Private Limited 
Acalabrutinib,Acalabrutinib Dihydrate 107.7400 Milligram (Mg),For The Treatment Of Patients With Mantle Cell Lymphoma (Mcl) Who Have Received Atleast One Prior Therapy,28-MAR-2022,Natco Pharma Limited
Acalabrutinib,Acalabrutinib 100.0000 Milligram (Mg),Indicated For The Treatment Of Adult Patients With Chronic Lymphocytic Leukemia (Cll) Or Small Lymphocytic Lymphoma (Sll).,01-JUL-2022,MSN Laboratories Private Limited
Acalabrutinib,Acalabrutinib 100.0000 Milligram (Mg),Indicated For The Treatment Of Patients With Mantle Cell Lymphoma (Mcl) Who Have Received At Least One Prior Therapy,11-APR-2022,MSN Laboratories Private Limited
Acalabrutinib,"Acalabrutinib 100.0000 Milligram (Mg),Silicified Microcrystalline Cellulose 66.0000 Milligram (Mg),Partially Pregelatinised Starch 66.0000 Milligram (Mg),Sodium Starch Glycolate, Type A 6.0000 Milligram (Mg),Magnesium Stearate 2.0000 Milligram (Mg)",Acalabrutinib Is Indicated For The Treatment Of Patients With Mantle Cell Lymphoma (Mcl) Who Have Received At Least One Prior Therapy,28-OCT-2019,AstraZeneca Pharma India Limited
Acalabrutinib,Acalabrutinib 100.0000 Milligram (Mg),Acalabrutinib Is Indicated For The Treatment Of Patients With Chronic Lymphocytic Leukaemia (Cll)/Small Lymphocytic Lymphoma (Sll).,11-MAR-2020,AstraZeneca Pharma India Limited
Acalabrutinib,Acalabrutinib 100.0000 Not Applicable (Na),NA,11-APR-2022,MSN Laboratories Private Limited
Acalabrutinib Dihydrate,Acalabrutinib Dihydrate 107.7400 Milligram (Mg),NA,28-MAR-2022,Natco Pharma Limited
Acalabrutinib Maleate 100mg Tablets (Calquence),"Acalabrutinib Maleate 129.0000 Milligram (Mg),Mannitol 132.0000 Milligram (Mg),Microcrystalline Cellulose 109.0000 Milligram (Mg),Hydroxypropyl Cellulose 20.0000 Milligram (Mg),Sodium Stearyl Fumarate 10.0000 Milligram (Mg)",Calquence Is Indicated For The Treatment Of Patients With Mantle Cell Lymphoma (Mcl) Who Have Received At Least One Prior Therapy.  Calquence Is Indicated For The Treatment Of Patients With Chronic Lymphocytic Leukaemia (Cll)/Small Lymphocytic Lymphoma (Sll).,17-MAY-2024,AstraZeneca Pharma India Limited
Acamprosate calcium tabs/bulk,Each enteric coated tab contains; acamprosate calcium-333mg,As therapy to maintain abstinence unalcohol dependent patients. It should be combined with counselling.,30-10-2002,Sun pharma
Acarbose tablets,"Each tab contains; acarbose-50mg,100mg",Insulin dependent (type-II) diabetes inadequately controlled by diet/or oral hypoglycaemic agent.,06/03/1997,Bayer
Acebrofylline 100 Mg+Acetylcysteine Bp 600 Mg,"Acebrofylline 100.0000 Milligram (Mg),Acetylcysteine 600.0000 Milligram (Mg)",Chronic Obstructive Pulmonary Disease (Copd),30-JUL-2024,M/s. Fourts (India) Laboratories Pvt. Limited
Acebrophylline 100mg+N-Acetyl-L-Cysteine 600mg,"Acebrophylline 100.0000 Milligram (Mg),N-Acetyl-L-Cysteine 600.0000 Milligram (Mg)",It Is  Primarily Used To Prevent And Treat Symptoms Of Chronic Obstructive Pulmonary Disease (Copd),12-OCT-2023,Life Vision Healthcare 
Acebrophylline+Acetylcysteine Tablets,"Acebrophylline 100.0000 Milligram (Mg),Acetylcysteine 600.0000 Milligram (Mg)",To Prevent The Symptoms Of Chronic Obstructive Pulmonary Disorder,08-JAN-2025,Swiss Garnier Life Sciences
Acebrophylline capsules 100mg,Each capsule contains; acebrophylline- 100mg,For the treatment of adult patients with chronic obstructive pulmonary disease (COPD) and bronchial asthma.,29.05.08,"Sun pharma, Vadodara"
Acebrophylline+Erdosteine,"Acebrophylline 100.0000 Milligram (Mg),Erdosteine 300.0000 Milligram (Mg)",It Is Used In The Treatment Of Chronic Bronchitis In Patients With Chronic Obstructive Pulmonary Disease,17-FEB-2026,Theon Pharmaceuticals Ltd
Acebrophylline+Erdosteine,"Acebrophylline 100.0000 Milligram (Mg),Erdosteine 300.0000 Milligram (Mg)",Treatment Of Chronic Bronchitis In Patients With Chronic Obstructive Pulmonary Disease,20-NOV-2025,Macleods Pharmaceuticals Ltd.
Acebrophylline SR Tablet 200 mg,,For the treatment of adult patients with chronic obstructive pulmonary disease (COPD) and bronchial asthma.,23.11.10,
Acebrophylline Syrup,Each ml of syrup contains; acebrophylline-10mg,For the treatment of adult patients with chronic obstructive pulmonary disease (COPD) and bronchial asthma.,13.01.09,"Sun Pharma, Vadodara"
Acebrophylline Syrup 10mg/ml (Additional Indication),,For the treatment of children (age 6 to 12 years) with chronic obstructive pulmonary disease(COPD) and bronchial asthma.,30.03.09,
Acebutolol capsules/injection,"Each capsule contains; acebutolol hcl eq.to 100mg,200mg,400mg acebutolol, Each ml contains; eq.of 5mg of acebutolol.","Anti hypertensive agent- Indicated in the management of all grades of hypertension, angina pectoris and control of tachyarrhythmias.",1985-December,May & Backer
Acebutolol hcl + Hydrochlorthiazide tablets,"Acebutolol hcl-200mg, hydrochlorthiazide-12.5mg",,1986-August,May and Baker
Aceclofenac 100mg Tablet,Each tablet contains; aceclofenac-100mg,"For the treatment of pain & inflammation in patients with osteoporosis, rheumatoid arthritis and ankylosing spondylitis.",05.04.07,Pegasus farmaco India pvt ltd.
Aceclofenac(100mg) + Thiocolchicoside (4 mg) tablets (Additional strength),,For the treatment of acute inflammation conditions associated with spasm in adults only.,11.08.09,
Aceclofenac(100mg) + Thiocolchicoside ( 8 mg) tablets,,For the treatment of acute inflammation conditions associated with spasm in adults only.,03.08.09,
Aceclofenac 100mg + Tizanidine 2mg film coated tablets,,For the treatment of acute low back pain in adult patients only.,23.02.09,
Aceclofenac 1% w/w + Menthol 5% Spray,,For the treatment of acute painful inflammatory conditions in adults only.,28.05.10,
Aceclofenac 200mg (S.R) tablet,,NSAID,22/02/2006,
Aceclofenac dispersible tablet 100mg (new dosage form),,As Approved.,21/12/2006,
"Aceclofenac gel 1.5% along with linseed oil, menthol, Salicylate, Capsaicin","Aceclofenac BP (1.5% w/w) also contains; linseed oil, menthol, methyl salicylate, capscicin.","For the treatment of pain, swelling and inflammation due to musculo skeletal disorder viz., sprains, strains, tensonitis, bursitis, head, neck, shoulder pain, sciatica muscle stiffness, joint pain, backache, lumbago.",14/06/2005,Emcure pharma ltd.
Aceclofenac Inj. (150mg/ml),,For pain in post operative & post traumatic cases.,28/09/2006,
Aceclofenac Inj. 50mg/ml (additional strength),,As Approved.,01/12/2006,
Aceclofenac injection (150mg/3ml),,For short term treatment of pain due to post operative and post traumatic cases.,19.02.07,
Aceclofenac injection 150mg/ml,,For short term treatment of pain due to post operative and post traumatic cases.,23.01.08,
Aceclofenac Ip 100mg+Paracetamole Ip 325mg+Serratiopeptidase Ip 15mg,Paracetamole 325.0000 Milligram (Mg),Anti Inflammatory And Antipyretic,16-OCT-2023,CONCEPT PHARMACEUTICALS LIMITED
Aceclofenac Ip 100 Mg+Paracetamol Ip 325 Mg+Serratiopeptidase Ip 15mg (As Enteric Coated Granules ),"Aceclofenac 100.0000 Milligram (Mg),Paracetamol 325.0000 Milligram (Mg),Serratiopeptidase 15.0000 Milligram (Mg)",Treatment Of Acute Painful Musculospastic Conditions,05-MAR-2025,HOF Pharmaceuticals Limited
Aceclofenac  IP  (Sustained  released  pellets) 200mg/200mg  +  Thiocolchicoside  IP (Sustained  released  pellets)  8mg/16mg Capsules. (New Dosage Form),,For the treatment of acute inflammation conditions associated with spasm in adults only.,04.01.12,
Aceclofenac + Paracetamol tablets,"Each tablet contains; aceclofenac-100mg, paracetamol-500mg",RMP- for acute painful conditions in adults only.,08/07/2004,"Ipca, Maral, Aristo, Intas"
Aceclofenac+Paracetamol+Thiocolchicoside,"Aceclofenac 100.0000 Milligram (Mg),Paracetamol 325.0000 Milligram (Mg),Thiocolchicoside 8.0000 Milligram (Mg)",It Is For The Treatment Of Acute Painful Musculospastic Conditions.,30-JAN-2024,INNOVA CAPTAB LIMITED
Aceclofenac+Paracetamol+Thiocolchicoside,"Aceclofenac 100.0000 Milligram (Mg),Paracetamol 325.0000 Milligram (Mg),Thiocolchicoside 4.0000 Milligram (Mg)",It Is For The Treatment Of Acute Painful Musculospastic Conditions.,30-JAN-2024,INNOVA CAPTAB LIMITED
Aceclofenac+Paracetamol+Trypsin - Chymotrypsin,"Aceclofenac 100.0000 Milligram (Mg),Paracetamol 325.0000 Milligram (Mg),Trypsin - Chymotrysin 50000.0000 Au",It Is Used For The Treatment Of Acute Painful Musculospastic Conditions,20-AUG-2024,INNOVA CAPTAB LIMITED
Aceclofenac Roll - On 1%,,For the treatment of acute musculoskeletal pain in patients.,24.10.08,
Acesulfame Potassium,,As sweetener in pharmaceutical preparation.,05/04/2005,Lupin ltd.
Acetamoniphen+Tramadol Hydrochloride,Acetaminophen 325.0000 Milligram (Mg),For Short Term (Fiv Days Or Less) Management Of Acute Pain In Adults.,06-DEC-2023,SciTech Specialities Pvt. Ltd.
Acetamoniphen+Tramadol Hydrochloride,Tramadol Hydrochloride 37.5000 Milligram (Mg),For Short Term (Fiv Days Or Less) Management Of Acute Pain In Adults.,06-DEC-2023,SciTech Specialities Pvt. Ltd.
Acetazolamide Extended Release Capsules 500 Mg,Acetazolamide 500.0000 Milligram (Mg),"For Adjunctive Treatment Of Chronic Simple (Open-Angle) Glaucoma, Secondary Glaucoma, And Preoperatively In Acute Angle-Closure Glaucoma Where Delay Of Surgery Is Desired In Order To Lower Intraocular Pressure.",02-JUN-2022,Sidmak Laboratories (India) Pvt.Ltd. Valsad
Acetylcystein,,Antimycolytic enzyme.,1966- March,"British Drug House, Bombay"
Acetyl Cysteine+Calcium Chloride Hydrate+Dibasic Potassium Phopshate+Dibasic Sodium Phosphate Hydrate+Glucose+Glycine+L Alanine+L Arginine+L Aspartic Acid+L Glutamic Acid+L Histidine+L Isoleucine+L Leucine+L Lysine Hydrochloride+L Methionine+L Phenylalanine+L Proline+L Serine+L Threonine+L Tryptophan+L Tyrosine+L Valine+Magnesium Sulfate Hydrate+Potassium Chloride+Sodium Citrate Hydrate+Sodium L Lactate Solution+Thiamine Chloride Hydrochloride+Zinc Sulfate Hydrate,"Acetyl Cysteine 0.4040 G/Lit,Glycine 1.7700 G/Lit,L Alanine 2.4000 G/Lit,L Arginine 3.1500 G/Lit,L Aspartic Acid 0.3000 G/Lit,L Glutamic Acid 0.3000 G/Lit,L Histidine 1.5000 G/Lit,L Isoleucine 2.4000 G/Lit,L Leucine 4.2000 G/Lit,L Lysine Hydrochloride 3.9300 G/Lit,L Methionine 1.1700 G/Lit,L Phenylalanine 2.1000 G/Lit,L Proline 1.5000 G/Lit,L Serine 0.9000 G/Lit,L Threonine 1.7100 G/Lit,L Tryptophan 0.6000 G/Lit,L Tyrosine 0.1500 G/Lit,L Valine 2.4000 G/Lit,Dibasic Potassium Phosphate 1.0020 G/Lit,Dibasic Sodium Phosphate Hydrate 1.5420 G/Lit,Sodium Citrate Hydrate 0.5700 G/Lit,Sodiun L Lactate Solution 2.2900 G/Lit,Calcium Chloride Hydrate 0.3680 G/Lit,Glucose 74.9980 G/Lit,Magnesium Sulfate Hydrate 0.6160 G/Lit,Potassium Chloride 0.6340 G/Lit,Thiamine Chloride Hydrochloride 1.9200 Mg/Lit,Zinc Sulfate Hydrate 1.4000 Mg/Lit",Parenteral Nutrition,23-SEP-2022,Otsuka Pharmaceutical India Private Limited
 Acetyl Cysteine Eye Drops 5% w/v,,"Indicated the relief of Dry eye symptoms associated with defecient tear secretion, impaired or abnormal mucus Production.",14.12.10,
Acetyl salicylic acid + Aluminium Hydrochloride + Magnesium Hydrocloride,"Each tablet contains; Acetyl salicylic acid-350mg, Aluminium Hydrochloride-90mg, Magnesium Hydrocloride-90mg",,1981-November,"Carter Wallace, Panjim"
Acetyl salicylic acid + calcium carbonate + anhydrous citric acid,"Each tablet contains; ASA-100mg,CC-30mg,ACA-10mg",,1991- September,Reckitt & colman
Acetylsalicylic Acid Effervescent Tablets,Aspirin 500.0000 Milligram (Mg),Analgesic And Antipyretic,16-JUL-2021,Reckitt Benckiser (India) Private Limited
Acetyl salicylic acid Injection,,,2005-October,Troikaa pharma
Acipimox Capsules 250mg.,Each capsule contains; acipimox-250mg,"As adjunctive therapy to diet in the treatment of hyperlipidaemias of type IIa, IIb and IV.",01.12.09,"Ajanta pharma, Mumbai"
Acitretin,"Each hard gelatin capsule contains; acitretin-10mg, 25mg",For the treatment of severe psoriasis in adults patients (excluding female of child bearing potentials) with 7 points of warning,09/09/2005,Glenmark pharma ltd.
Aclarubicin hydrochloride injection,,"Anti cancer- Indicated in the treatment of acute leukaemia, malignant lymphoma, stomach, lung cancer etc.",1988-March,Khandelwal
Acotiamide 300 Mg Tablet,Acotiamide Hydrochloride Hydrate 300.0000 Milligram (Mg),"For The Treatment Of  Bloating After Meals,  Epigastric Bloating And  Early Satiety In Functional  Dyspepsia",03-NOV-2021,Logos Pharma
Acotiamide Extended Release Tablets 300 Mg,Acotiamide Hydrochloride Hydrate 300.0000 Milligram (Mg),Functional Dyspepsia Postprandial Distress Syndrome,15-DEC-2020,LUPIN LIMITED
Acotiamide Film Coated Er Tablet,Acotiamide 300.0000 Milligram (Mg),"For The Treatment Of Bloating After Meals, Epigastric Bloating And Early Satiety In Functional Dyspepsia",03-NOV-2021,Theon Pharmaceuticals Ltd
Acotiamide Hydrochloride Bulk & Tablet 100mg,Each film coated tablet contains; acotiamide hydrochloride hydrate-100mg,"For the treatment of bloating after meals, epigastric bloating and early satiety in functional dyspepsia.",06.07.16,Lupin ltd.
Acotiamide Hydrochloride Hydrate,Acotiamide Hydrochloride Hydrate 98.0000 %,NA,10-JAN-2019,KIMIA BIOSCIENCES LIMITED
Acotiamide Hydrochloride Hydrate,Acotiamide Hydrochloride Hydrate 0.0000 Q.S.,NA,27-SEP-2019,Lewens Labs Pvt. Ltd. 
Acotiamide Hydrochloride Hydrate Extended Release Tablets 300mg,Acotiamide Hydrochloride Hydrate 300.0000 Milligram (Mg),"Indicated For The Treatment Of Bloating After Meals, Epigastric Bloating And Early Satiety In Functional Dyspepsia.",16-NOV-2020,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Acotiamide Hydrochloride Hydrate Sr 300 Mg Tablet,Acotiamide Hydrochloride Hydrate 300.0000 Milligram (Mg),"For The Treatment Of Bloating After Meals, Epigastric Bloating And Early Satiety In Functional Dyspepsia.",27-OCT-2020,Synokem Pharmaceuticals Ltd
Acotiamide Sr 300 Mg Tablet,Acotiamide Hcl Hydrate 300.0000 Milligram (Mg),"For The Treatment Of Bloating After Meals, Epigastric Bloating And Early Satiety In Functional Dyspepsia.",12-JAN-2021,Mascot Health Series Pvt Ltd
Acotiamide Sustained Release Tablets 300 Mg,Acotiamide 300.0000 Milligram (Mg),"For The Treatment Of Bloating After Meals, Epigastric Bloating And Early Satiety In Functional Dyspepsia.",20-OCT-2020,Exemed Pharmaceuticals
Acotiamide Tablet 100 Mg,Acotiamide Hydrochloride Hydrate 100.0000 Milligram (Mg),"For The Treatment Of Bloating After Meals, Epigastric Bloating And Early Satiety In Functional Dyspepsia",15-OCT-2019,AKUMS DRUGS & PHARMACEUTICALS LIMITED
Acrivastine Capsules 8mg,Each capsule contains; acrivastine-8mg,For the symptomatic relief of allergic rhinitis.,26.09.11,Cadila healthcare
Acryl - Eze Green 93o510003,NA,NA,13-DEC-2019,INTAS PHARMACEUTICALS LTD
Actarit 100mg Tablets,Each film coated tablet contains; actarit-100mg,For the treatment of rheumatoid arthritis patients.,22.07.08,"Macleods pharma, Thane"
Activated Dimethicone 50mg + Magnesium Hydroxide 250mg + Dried Aluminium Hydroxide250 mg + Sorbitol (70%)1.25 gm /5ml Solution,,"For treatment of symptoms of hyperacidity (e.g. heartburn, epigastric discomfort, or their equivalents) that are often associated with dyspepsia, peptic ulcers, gastritis, peptic esophagitis and indicated for relief of flatulence.",28.05.10,
Activated Methylpolysiloxane + Magnesium Hydroxide + Aluminium Hydroxide,"Each 5mL contains; Activated Methylpolysiloxane-125mg, Magnesium Hydroxide-100mg, Aluminium Hydroxide-5mg",,1973-June,"Indian Schering, Bombay"
Active Substance Solution Of The Combined Vector Vaccine Gam-Covid-Vac (Component I And Component Ii),Active Substance Solution Of The Combined Vector Vaccine Gam-Covid-Vac(Component I And Component Ii) 2.0000 Plus/Minus 1 Multiply By 10 To Power 11 Per Ml,NA,15-JUN-2021,Dr Reddys Laboratories Limited
